ID,Est Dur,EA-RTFP,IMT,IAT,IT,OMT ,OAT ,OT,ER,EA,ERA,UA-RTFP,Effort
1,9.5,27,0,0,0,4,4,8,7,12,19,15,670
2,12,21,0,0,0,1,3,4,8,9,17,12,912
3,9,59,1,2,3,14,21,35,9,12,21,47,218
4,7,10,2,8,10,0,0,0,0,0,0,10,595
5,6,10,2,8,10,0,0,0,0,0,0,10,267
6,11,13,1,1,2,1,2,3,4,4,8,9,344
7,3.4,8,1,5,6,0,0,0,1,1,2,7,229
8,2,29,2,10,12,2,2,4,4,9,13,20,190
9,5,49,2,2,4,9,18,27,6,12,18,37,869
10,5.2,2,1,1,2,0,0,0,0,0,0,2,109
11,6,4,3,3,4,0,0,0,0,0,0,4,289
12,4.7,6,2,4,6,0,0,0,0,0,0,6,616
13,5.2,3,1,2,3,0,0,0,0,0,0,3,557
14,29,6,0,0,0,0,0,0,2,4,6,2,416
15,23,7,0,0,0,0,0,0,3,4,7,3,578
16,5,27,0,0,0,1,2,3,9,15,24,12,438
